VendorName,VendorNumber,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesDollars,TotalSalesPrice,TotalSalesQuantity,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
DIAGEO NORTH AMERICA INC,3960,2753,Johnnie Walker Black Label,44.77,59.99,1750.0,31596,1414552.92,1739044.28,507291.43,28372.0,52133.72,257032.07,324491.3600000001,18.66,0.898,1.229,44.769999999999996,Large,144338.48
PERNOD RICARD USA,17035,5364,Kahlua,23.07,29.99,1750.0,60645,1399080.15,1844950.29,504735.06,59771.0,109817.06999999999,123780.22,445870.14000000013,24.17,0.9856,1.319,23.069999999999997,Large,20163.18
DIAGEO NORTH AMERICA INC,3960,8082,Baileys Irish Cream,21.73,33.99,1750.0,64249,1396130.77,2068091.16,494487.65,65184.0,119767.49,257032.07,671960.3899999999,32.49,1.0146,1.481,21.73,Large,-20317.55
DIAGEO NORTH AMERICA INC,3960,8680,Crown Royal,28.88,39.99,1750.0,47546,1373128.48,1884307.34,596574.93,47966.0,88129.8,257032.07,511178.8600000001,27.13,1.0088,1.372,28.88,Large,-12129.6
DIAGEO NORTH AMERICA INC,3960,4260,Capt Morgan Original Barrel,16.66,21.99,1750.0,79078,1317439.48,1635666.58,121065.24999999999,79042.0,145234.95,257032.07,318227.1000000001,19.46,0.9995,1.242,16.66,Large,599.76
BACARDI USA INC,480,3348,Bombay Sapphire Gin,22.38,29.99,1750.0,57349,1283470.62,1766391.1199999999,460087.95,56888.0,104524.54,89286.27,482920.49999999977,27.34,0.992,1.376,22.380000000000003,Large,10317.18
BACARDI USA INC,480,3857,Grey Goose Vodka,38.27,49.99,1750.0,33388,1277758.76,1699669.55,589137.79,32945.0,60533.43,89286.27,421910.79000000004,24.82,0.9867,1.33,38.27,Large,16953.61
"STOLI GROUP,(USA) LLC",8664,8112,Stolichnaya,19.52,24.99,1750.0,61936,1208990.72,1528730.27,392353.54,61323.0,112669.45,18544.49,319739.55000000005,20.92,0.9901,1.264,19.52,Large,11965.76
BACARDI USA INC,480,126,Grey Goose Vodka,20.14,32.99,1000.0,59878,1205942.92,1736610.87,294049.49,58013.0,60913.65,89286.27,530667.9500000002,30.56,0.9689,1.44,20.139999999999997,Large,37561.1
JIM BEAM BRANDS COMPANY,12546,3512,Pinnacle Vodka,11.76,16.99,1750.0,101480,1193404.8,1624366.6199999999,306439.94,98938.0,181782.13,123880.97,430961.81999999983,26.53,0.975,1.361,11.76,Large,29893.92
JIM BEAM BRANDS COMPANY,12546,2120,Canadian Club,12.21,16.99,1750.0,97473,1190145.33,1554498.4,307670.2,94960.0,174471.93,123880.97,364353.06999999983,23.44,0.9742,1.306,12.21,Large,30683.730000000003
PROXIMO SPIRITS INC.,7245,8159,Jose Cuervo Especial,19.69,25.99,1750.0,59088,1163442.72,1549701.9,431497.81,58610.0,107685.03,38994.78,386259.17999999993,24.92,0.9919,1.332,19.69,Large,9411.82
BACARDI USA INC,480,4243,Bacardi Superior Rum,14.49,19.99,1750.0,76389,1106876.61,1657809.59,342678.85,77041.0,141551.61,89286.27,550932.98,33.23,1.0085,1.498,14.490000000000002,Large,-9447.48
MOET HENNESSY USA INC,8112,6654,Veuve Clicquot Brut Yellow,27.2,39.99,750.0,40380,1098336.0,1584665.41,349562.06,38506.0,4316.36,48347.26,486329.4099999999,30.69,0.9536,1.443,27.2,Large,50972.799999999996
DIAGEO NORTH AMERICA INC,3960,8512,Baileys Irish Cream,14.72,19.99,750.0,72952,1073853.44,1456174.78,340626.12999999995,73122.0,57570.69,257032.07,382321.3400000001,26.26,1.0023,1.356,14.719999999999999,Large,-2502.4
PROXIMO SPIRITS INC.,7245,3802,Three Olives Vodka,13.43,18.99,1750.0,77066,1034996.38,1408627.78,331726.62999999995,74722.0,137288.58,38994.78,373631.4,26.52,0.9696,1.361,13.43,Large,31479.92
CAMPARI AMERICA,11567,3826,Skyy Vodka,15.74,19.99,1750.0,65382,1029112.6799999999,1327401.1199999999,352821.77999999997,64388.0,118298.37,20964.81,298288.43999999994,22.47,0.9848,1.29,15.739999999999998,Large,15645.56
MOET HENNESSY USA INC,8112,42188,Moet & Chandon Nectar Imp Rs,34.01,52.99,750.0,29829,1014484.29,1533634.52,132343.67,29498.0,3314.23,48347.26,519150.23,33.85,0.9889,1.512,34.01,Large,11257.31
PERNOD RICARD USA,17035,3423,Beefeater,21.25,26.99,1750.0,46163,980963.75,1177834.38,367508.00999999995,44762.0,82244.16,123780.22,196870.6299999999,16.71,0.9697,1.201,21.25,Large,29771.25
SAZERAC CO INC,8004,5138,Fireball Cinnamon Whisky,11.1,13.99,750.0,87954,976289.4,1174428.36,257643.31,84289.0,66360.95,50293.62,198138.96000000008,16.87,0.9583,1.203,11.1,Large,40681.5
PERNOD RICARD USA,17035,5734,Malibu Rum,15.82,21.99,1750.0,61639,975128.98,1293182.98,315290.18,60102.0,110429.45,123780.22,318054.0,24.59,0.9751,1.326,15.82,Large,24315.34
BACARDI USA INC,480,4227,Bacardi Superior Rum Trav,14.17,17.99,1750.0,68294,967725.98,1323223.53,177578.65,75147.0,138074.09,89286.27,355497.55000000005,26.87,1.1003,1.367,14.17,Large,-97107.01
MARTIGNETTI COMPANIES,4425,3505,Tito's Handmade Vodka,13.76,18.99,750.0,69299,953554.24,1355204.97,331321.58999999997,70603.0,55584.909999999996,144929.24,401650.73,29.64,1.0188,1.421,13.76,Large,-17943.04
BROWN-FORMAN CORP,1128,1232,Jack Daniels No 7 Black,15.93,22.99,750.0,52932,843206.76,1255188.94,394500.86,53206.0,41888.06,68601.68,411982.17999999993,32.82,1.0052,1.489,15.93,Large,-4364.82
JIM BEAM BRANDS COMPANY,12546,1385,Makers Mark,20.45,26.99,750.0,41048,839431.6,1034144.85,396827.64999999997,37615.0,29615.6,123880.97,194713.25,18.83,0.9164,1.232,20.45,Large,70204.84999999999
SAZERAC CO INC,8004,5103,Fireball Cinnamon Whisky,17.14,23.99,1750.0,44198,757553.72,1093841.67,364814.63999999996,43533.0,79984.58,50293.62,336287.94999999995,30.74,0.985,1.444,17.14,Large,11398.1
PERNOD RICARD USA,17035,8000,The Glenlivet 12 Yr Single,53.96,67.99,1750.0,13759,742435.64,910688.8999999999,453044.27999999997,13210.0,24275.31,123780.22,168253.2599999999,18.48,0.9601,1.227,53.96,Large,29624.04
